24, 624
36, 624
48, 624
48, 636
60, 636
60, 648
72, 648
84, 648
84, 636
72, 636
72, 624
60, 624
60, 612
48, 612
48, 600
48, 588
48, 576
48, 564
48, 552
48, 540
60, 540
60, 552
60, 564
60, 576
60, 588
60, 600
72, 600
72, 612
84, 612
84, 624
96, 624
96, 636
96, 648
108, 648
108, 636
108, 624
108, 612
96, 612
96, 600
84, 600
84, 588
72, 588
72, 576
72, 564
72, 552
72, 540
84, 540
84, 552
84, 564
84, 576
96, 576
96, 588
108, 588
108, 600
120, 600
120, 612
120, 624
120, 636
120, 648
132, 648
132, 636
132, 624
132, 612
132, 600
132, 588
120, 588
120, 576
108, 576
108, 564
96, 564
96, 552
96, 540
108, 540
108, 552
120, 552
120, 564
132, 564
132, 576
144, 576
144, 588
144, 600
144, 612
144, 624
144, 636
144, 648
156, 648
156, 636
156, 624
156, 612
156, 600
156, 588
156, 576
156, 564
144, 564
144, 552
132, 552
132, 540
120, 540
120, 528
120, 516
120, 504
132, 504
132, 492
144, 492
144, 480
156, 480
156, 468
156, 456
156, 444
156, 432
156, 420
156, 408
144, 408
144, 420
144, 432
144, 444
144, 456
144, 468
132, 468
132, 480
120, 480
120, 492
108, 492
108, 504
96, 504
96, 492
96, 480
108, 480
108, 468
120, 468
120, 456
132, 456
132, 444
132, 432
132, 420
132, 408
120, 408
120, 420
120, 432
120, 444
108, 444
108, 456
96, 456
96, 468
84, 468
84, 480
84, 492
84, 504
72, 504
72, 492
72, 480
72, 468
72, 456
84, 456
84, 444
96, 444
96, 432
108, 432
108, 420
108, 408
96, 408
96, 420
84, 420
84, 432
72, 432
72, 444
60, 444
60, 456
60, 468
60, 480
60, 492
60, 504
48, 504
48, 492
48, 480
48, 468
48, 456
48, 444
48, 432
60, 432
60, 420
72, 420
72, 408
84, 408
84, 396
72, 396
60, 396
60, 408
48, 408
48, 420
36, 420
24, 420
24, 408
12, 408
12, 396
0, 396
0, 384
12, 384
12, 372
24, 372
24, 360
36, 360
48, 360
48, 372
60, 372
60, 384
72, 384
84, 384
84, 372
72, 372
72, 360
60, 360
60, 348
48, 348
48, 336
48, 324
48, 312
48, 300
48, 288
48, 276
60, 276
60, 288
60, 300
60, 312
60, 324
60, 336
72, 336
72, 348
84, 348
84, 360
96, 360
96, 372
108, 372
108, 360
108, 348
96, 348
96, 336
84, 336
84, 324
72, 324
72, 312
72, 300
72, 288
72, 276
84, 276
84, 288
84, 300
84, 312
96, 312
96, 324
108, 324
108, 336
120, 336
120, 348
120, 360
120, 372
132, 372
132, 360
132, 348
132, 336
132, 324
120, 324
120, 312
108, 312
108, 300
96, 300
96, 288
96, 276
108, 276
108, 288
120, 288
120, 300
132, 300
132, 312
144, 312
144, 324
144, 336
144, 348
144, 360
144, 372
156, 372
156, 360
156, 348
156, 336
156, 324
156, 312
156, 300
144, 300
144, 288
132, 288
132, 276
120, 276
120, 264
132, 264
144, 264
144, 276
156, 276
156, 288
168, 288
180, 288
180, 276
192, 276
192, 264
204, 264
204, 252
192, 252
192, 240
180, 240
180, 228
168, 228
156, 228
156, 240
144, 240
144, 252
132, 252
120, 252
120, 240
132, 240
132, 228
144, 228
144, 216
156, 216
156, 204
156, 192
156, 180
156, 168
156, 156
156, 144
144, 144
144, 156
144, 168
144, 180
144, 192
144, 204
132, 204
132, 216
120, 216
120, 228
108, 228
108, 240
96, 240
96, 228
96, 216
108, 216
108, 204
120, 204
120, 192
132, 192
132, 180
132, 168
132, 156
132, 144
120, 144
120, 156
120, 168
120, 180
108, 180
108, 192
96, 192
96, 204
84, 204
84, 216
84, 228
84, 240
72, 240
72, 228
72, 216
72, 204
72, 192
84, 192
84, 180
96, 180
96, 168
108, 168
108, 156
108, 144
96, 144
96, 156
84, 156
84, 168
72, 168
72, 180
60, 180
60, 192
60, 204
60, 216
60, 228
60, 240
48, 240
48, 228
48, 216
48, 204
48, 192
48, 180
48, 168
60, 168
60, 156
72, 156
72, 144
84, 144
84, 132
84, 120
84, 108
72, 108
72, 96
60, 96
60, 84
48, 84
48, 72
48, 60
48, 48
48, 36
48, 24
48, 12
48, 0
60, 0
60, 12
60, 24
60, 36
60, 48
60, 60
60, 72
72, 72
72, 84
84, 84
84, 96
96, 96
96, 108
108, 108
108, 96
108, 84
96, 84
96, 72
84, 72
84, 60
72, 60
72, 48
72, 36
72, 24
72, 12
72, 0
84, 0
84, 12
84, 24
84, 36
84, 48
96, 48
96, 60
108, 60
108, 72
120, 72
120, 84
120, 96
120, 108
132, 108
132, 96
132, 84
132, 72
132, 60
120, 60
120, 48
108, 48
108, 36
96, 36
96, 24
96, 12
96, 0
108, 0
108, 12
108, 24
120, 24
120, 36
132, 36
132, 48
144, 48
144, 60
144, 72
144, 84
144, 96
144, 108
156, 108
156, 96
156, 84
156, 72
156, 60
156, 48
156, 36
144, 36
144, 24
132, 24
132, 12
120, 12
120, 0
132, 0
144, 0
144, 12
156, 12
156, 24
168, 24
180, 24
180, 12
192, 12
192, 0
204, 0
216, 0
216, 12
204, 12
204, 24
192, 24
192, 36
180, 36
180, 48
180, 60
180, 72
180, 84
180, 96
180, 108
192, 108
192, 96
192, 84
192, 72
192, 60
192, 48
204, 48
204, 36
216, 36
216, 24
228, 24
228, 12
228, 0
240, 0
240, 12
240, 24
240, 36
228, 36
228, 48
216, 48
216, 60
204, 60
204, 72
204, 84
204, 96
204, 108
216, 108
216, 96
216, 84
216, 72
228, 72
228, 60
240, 60
240, 48
252, 48
252, 36
252, 24
252, 12
252, 0
264, 0
264, 12
264, 24
264, 36
264, 48
264, 60
252, 60
252, 72
240, 72
240, 84
228, 84
228, 96
228, 108
240, 108
240, 96
252, 96
252, 84
264, 84
264, 72
276, 72
276, 60
276, 48
276, 36
276, 24
276, 12
276, 0
288, 0
